timestamp,machine_id,temperature,pressure,vibration,flow_rate,humidity,failure
2026-01-06 09:00:00,VALVE_1,71,183,0.20,135,40,0
2026-01-06 10:00:00,VALVE_1,74,189,0.25,130,42,0
2026-01-06 11:00:00,VALVE_1,90,227,0.55,114,48,1
2026-01-06 12:00:00,PUMP_2,83,208,0.30,120,45,0
2026-01-06 13:00:00,PUMP_2,86,215,0.34,116,46,0
2026-01-06 14:00:00,PUMP_2,92,225,0.47,111,48,0
2026-01-06 15:00:00,PUMP_2,97,250,0.65,105,52,1
2026-01-06 16:00:00,COMP_2,78,192,0.26,129,43,0
2026-01-06 17:00:00,COMP_2,82,201,0.31,125,44,0
2026-01-06 18:00:00,COMP_2,90,221,0.44,118,47,0
2026-01-06 19:00:00,COMP_2,97,245,0.60,110,50,1
2026-01-06 20:00:00,VALVE_2,71,181,0.20,134,41,0
2026-01-06 21:00:00,VALVE_2,75,190,0.25,131,43,0
2026-01-06 22:00:00,VALVE_2,88,210,0.41,119,46,0
2026-01-06 23:00:00,VALVE_2,93,234,0.57,115,49,1
2026-01-07 00:00:00,PUMP_1,79,200,0.25,121,42,0
2026-01-07 01:00:00,PUMP_1,82,208,0.29,119,44,0
2026-01-07 02:00:00,PUMP_1,87,218,0.37,115,46,0
2026-01-07 03:00:00,PUMP_1,93,238,0.58,108,49,1
2026-01-07 04:00:00,COMP_1,75,186,0.23,133,41,0
2026-01-07 05:00:00,COMP_1,78,192,0.25,130,42,0
2026-01-07 06:00:00,COMP_1,85,206,0.32,126,44,0
2026-01-07 07:00:00,COMP_1,91,229,0.50,117,47,1
2026-01-07 08:00:00,VALVE_1,68,176,0.19,137,38,0
2026-01-07 09:00:00,VALVE_1,70,181,0.21,134,39,0
2026-01-07 10:00:00,VALVE_1,73,187,0.24,131,40,0
2026-01-07 11:00:00,VALVE_1,89,225,0.52,115,47,1
2026-01-07 12:00:00,PUMP_2,80,204,0.27,122,44,0
2026-01-07 13:00:00,PUMP_2,83,211,0.31,119,45,0
2026-01-07 14:00:00,PUMP_2,89,221,0.45,114,47,0
2026-01-07 15:00:00,PUMP_2,94,245,0.62,106,51,1
2026-01-07 16:00:00,COMP_2,76,188,0.25,131,42,0
2026-01-07 17:00:00,COMP_2,80,196,0.28,127,43,0
2026-01-07 18:00:00,COMP_2,88,216,0.41,120,46,0
2026-01-07 19:00:00,COMP_2,94,239,0.56,112,49,1
2026-01-07 20:00:00,VALVE_2,70,180,0.20,135,40,0
2026-01-07 21:00:00,VALVE_2,72,185,0.22,133,41,0
2026-01-07 22:00:00,VALVE_2,86,206,0.39,121,44,0
2026-01-07 23:00:00,VALVE_2,91,230,0.54,116,48,1
2026-01-08 00:00:00,PUMP_1,80,203,0.26,120,43,0
2026-01-08 01:00:00,PUMP_1,83,211,0.30,118,44,0
2026-01-08 02:00:00,PUMP_1,88,221,0.38,114,46,0
2026-01-08 03:00:00,PUMP_1,95,243,0.61,107,50,1
2026-01-08 04:00:00,COMP_1,76,189,0.24,132,42,0
2026-01-08 05:00:00,COMP_1,79,195,0.27,128,43,0
2026-01-08 06:00:00,COMP_1,86,210,0.33,125,45,0
2026-01-08 07:00:00,COMP_1,93,234,0.54,116,48,1
2026-01-08 08:00:00,VALVE_1,68,175,0.17,139,38,0
2026-01-08 09:00:00,VALVE_1,70,180,0.19,136,39,0
2026-01-08 10:00:00,VALVE_1,73,186,0.22,133,40,0
2026-01-08 11:00:00,VALVE_1,90,228,0.57,113,49,1
2026-01-08 12:00:00,PUMP_2,82,207,0.29,121,45,0
2026-01-08 13:00:00,PUMP_2,85,214,0.33,117,46,0
2026-01-08 14:00:00,PUMP_2,91,224,0.46,113,48,0
2026-01-08 15:00:00,PUMP_2,96,248,0.63,106,51,1
2026-01-08 16:00:00,COMP_2,77,191,0.25,130,43,0
2026-01-08 17:00:00,COMP_2,81,200,0.30,126,44,0
2026-01-08 18:00:00,COMP_2,89,219,0.43,119,47,0
2026-01-08 19:00:00,COMP_2,96,243,0.59,111,50,1
2026-01-08 20:00:00,VALVE_2,71,182,0.21,134,41,0
2026-01-08 21:00:00,VALVE_2,74,188,0.24,132,42,0
2026-01-08 22:00:00,VALVE_2,87,209,0.40,120,45,0
2026-01-08 23:00:00,VALVE_2,92,233,0.56,115,49,1
2026-01-09 00:00:00,PUMP_1,81,205,0.27,119,43,0
2026-01-09 01:00:00,PUMP_1,84,213,0.31,117,45,0
2026-01-09 02:00:00,PUMP_1,89,223,0.39,113,47,0
2026-01-09 03:00:00,PUMP_1,97,245,0.62,108,50,1
2026-01-09 04:00:00,COMP_1,77,190,0.25,131,42,0
2026-01-09 05:00:00,COMP_1,80,197,0.28,127,43,0
2026-01-09 06:00:00,COMP_1,87,212,0.35,123,45,0
2026-01-09 07:00:00,COMP_1,94,236,0.55,115,48,1
2026-01-09 08:00:00,VALVE_1,69,178,0.18,138,39,0
2026-01-09 09:00:00,VALVE_1,71,184,0.20,135,40,0
2026-01-09 10:00:00,VALVE_1,74,190,0.25,130,42,0
2026-01-09 11:00:00,VALVE_1,91,229,0.55,114,48,1
2026-01-09 12:00:00,PUMP_2,83,209,0.30,120,45,0
2026-01-09 13:00:00,PUMP_2,86,216,0.34,116,46,0
2026-01-09 14:00:00,PUMP_2,92,226,0.47,111,48,0
2026-01-09 15:00:00,PUMP_2,98,251,0.65,105,52,1
2026-01-09 16:00:00,COMP_2,78,193,0.26,129,43,0
2026-01-09 17:00:00,COMP_2,82,202,0.31,125,44,0
2026-01-09 18:00:00,COMP_2,90,222,0.44,118,47,0
2026-01-09 19:00:00,COMP_2,98,246,0.60,110,50,1
2026-01-09 20:00:00,VALVE_2,72,183,0.21,134,41,0
2026-01-09 21:00:00,VALVE_2,75,191,0.25,131,43,0
2026-01-09 22:00:00,VALVE_2,88,211,0.41,119,46,0
2026-01-09 23:00:00,VALVE_2,93,235,0.57,115,49,1
